index,idx_generation,best_solution,initial_xg,best_xG
628,19,"[111.0 40.93587480838928 110.32824909326267 46.626707360490805
 109.56348328002386 49.85850526353982 107.06287292981946
 48.154478971834024 101.17897045670938 49.32977997460318
 111.65424067658167 45.568954692207214]",0.07942085,[0.18866037]
628,20,"[111.0 40.93587480838928 110.67123202654521 48.578817210387776
 109.56348328002386 49.85850526353982 108.9415327537955 48.762400185707165
 100.49939899793563 49.32977997460318 111.65424067658167 46.07335292959208]",0.07942085,[0.18910883]
628,21,"[111.0 40.93587480838928 109.88895181276523 45.12920656501976
 104.60803612599295 47.56757111557219 107.06287292981946
 48.154478971834024 100.30941820585636 49.21435281022161
 111.65424067658167 46.07335292959208]",0.07942085,[0.18983072]
628,22,"[111.0 40.93587480838928 109.88895181276523 45.12920656501976
 104.60803612599295 47.56757111557219 107.06287292981946
 48.154478971834024 100.30941820585636 49.21435281022161
 111.65424067658167 46.07335292959208]",0.07942085,[0.18983072]
628,23,"[111.0 40.93587480838928 109.88895181276523 45.12920656501976
 104.60803612599295 47.56757111557219 107.06287292981946
 48.154478971834024 100.30941820585636 49.21435281022161
 111.65424067658167 46.07335292959208]",0.07942085,[0.18983072]
628,24,"[111.0 40.93587480838928 109.88895181276523 45.12920656501976
 104.60803612599295 47.56757111557219 107.06287292981946
 48.154478971834024 100.30941820585636 49.21435281022161
 112.93772529771874 49.98811923912757]",0.07942085,[0.19038348]
628,25,"[111.0 40.93587480838928 109.88895181276523 45.12920656501976
 104.60803612599295 47.56757111557219 107.06287292981946
 48.154478971834024 100.30941820585636 49.21435281022161
 112.93772529771874 49.98811923912757]",0.07942085,[0.19038348]
628,26,"[111.0 40.93587480838928 109.88895181276523 45.12920656501976
 104.60803612599295 47.56757111557219 107.06287292981946
 48.154478971834024 100.30941820585636 49.21435281022161
 112.93772529771874 49.98811923912757]",0.07942085,[0.19038348]
628,27,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
628,28,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
628,29,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
628,30,"[111.0 40.93587480838928 110.67123202654521 45.12920656501976
 111.0067237114748 43.86404977354399 107.06287292981946 48.154478971834024
 100.30941820585636 49.21435281022161 112.85213513399643 44.3556921457104]",0.07942085,[0.19261675]
