minute,period,shot_open_goal,shot_statsbomb_xg,fk_duration,pass_angle,pass_length,pass_switch,shot_x,shot_y,fk_x,fk_y,distance_to_goal,shooter_position_Center Attacking Midfield,shooter_position_Center Back,shooter_position_Center Defensive Midfield,shooter_position_Center Forward,shooter_position_Center Midfield,shooter_position_Goalkeeper,shooter_position_Left Attacking Midfield,shooter_position_Left Back,shooter_position_Left Center Back,shooter_position_Left Center Forward,shooter_position_Left Center Midfield,shooter_position_Left Defensive Midfield,shooter_position_Left Midfield,shooter_position_Left Wing,shooter_position_Left Wing Back,shooter_position_Right Attacking Midfield,shooter_position_Right Back,shooter_position_Right Center Back,shooter_position_Right Center Forward,shooter_position_Right Center Midfield,shooter_position_Right Defensive Midfield,shooter_position_Right Midfield,shooter_position_Right Wing,shooter_position_Right Wing Back,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,pass_height_Ground Pass,pass_height_High Pass,pass_height_Low Pass,fk_taker_position_Center Attacking Midfield,fk_taker_position_Center Back,fk_taker_position_Center Defensive Midfield,fk_taker_position_Center Forward,fk_taker_position_Center Midfield,fk_taker_position_Goalkeeper,fk_taker_position_Left Attacking Midfield,fk_taker_position_Left Back,fk_taker_position_Left Center Back,fk_taker_position_Left Center Forward,fk_taker_position_Left Center Midfield,fk_taker_position_Left Defensive Midfield,fk_taker_position_Left Midfield,fk_taker_position_Left Wing,fk_taker_position_Left Wing Back,fk_taker_position_Right Attacking Midfield,fk_taker_position_Right Back,fk_taker_position_Right Center Back,fk_taker_position_Right Center Forward,fk_taker_position_Right Center Midfield,fk_taker_position_Right Defensive Midfield,fk_taker_position_Right Midfield,fk_taker_position_Right Wing,fk_taker_position_Right Wing Back,distance_player_1,distance_player_2,distance_player_3,distance_player_4,distance_player_5,distance_player_6,distance_player_7,distance_player_8,distance_player_9,distance_player_10,angle_player_1,angle_player_2,angle_player_3,angle_player_4,angle_player_5,angle_player_6,angle_player_7,angle_player_8,angle_player_9,angle_player_10,teammates_player_1,teammates_player_2,teammates_player_3,teammates_player_4,teammates_player_5,teammates_player_6,teammates_player_7,teammates_player_8,teammates_player_9,teammates_player_10,pred_base_xg,pred_improved_xg,pctge_improvement
18,1,1,0.01422389,2.095421,1.6272148,30.147968,1,87.4,50.0,84.4,13.1,34.099266854288814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.608029957123971,7.057619995437555,12.277621919573836,14.534441853748632,20.36000982318034,20.766318884193225,21.321585306913743,23.41836885865452,27.18124353299532,28.50017543805652,175.0621848515238,170.27309189146857,142.44525942273282,173.25153170006502,160.23969979582736,135.83993307871498,144.62190679752842,147.20347086691814,130.69476239164035,135.3268387023885,0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1,,,
87,2,1,0.051727083,1.313552,-0.6621725,31.065414,1,110.9,34.6,86.4,53.7,10.581587782558906,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6324555320336691,1.513274595042156,1.5652475842498528,1.9646882704388555,2.126029162546935,2.3021728866442723,3.1890437438204,5.056678751908217,6.8066144300966505,9.108238029388556,167.7497757333267,113.0905297210036,32.74977573332674,45.42873592606584,79.4992479238854,56.82527398840551,79.49924792388536,96.14744461301729,110.53090650939484,168.54549928606613,0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,0,,,
17,1,1,0.07157938,1.453653,-0.32932615,33.39461,1,109.4,33.9,79.4,44.1,12.22988143850953,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.6155494421403491,3.689173349139351,4.565084884205332,5.522680508593639,6.251399843235112,6.262587324740471,6.800735254367722,6.846897107449488,7.488658090739626,7.907591289387692,81.8822007977941,62.74775047997,91.10841494558444,71.98353524213633,67.4331706713348,100.32692679750592,96.10816469654608,36.62904549631448,85.80473574321627,110.45688648053182,0,0.0,0.0,1.0,1.0,0.0,0.0,0,0,1,,,
54,2,1,0.020908605,2.154566,0.720273,19.557608,1,107.6,55.7,63.2,60.5,20.00624902374256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.72046505340853,1.8788294228055944,2.2022715545545206,6.911584478250995,10.530906893520612,11.14854250563723,11.243220179290276,12.209013064126031,17.01822552441941,19.250974001333027,177.23568396196555,63.503117475484125,102.22554632164773,145.01578733832622,81.91528012737568,165.50394968844904,96.33766010660412,168.4729310586369,177.59114715882785,145.86844269483345,0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,0,,,
11,1,1,0.069091916,1.443129,-1.005358,35.648563,1,110.0,38.4,90.9,68.5,10.12719112093773,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.118033988749897,1.6401219466856702,2.683281572999748,2.8999999999999986,3.56931365951495,4.427188724235736,5.5901699437494745,6.6098411478642936,6.931810730249351,7.4431176263713565,70.60487661041151,133.3411310503501,125.6553280979004,80.90972307917767,110.4002093948426,80.65532809790027,91.21456954794373,98.52230092210152,35.65532809790033,87.07989817420726,0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1,,,
13,1,1,0.034268577,2.514702,1.0435603,42.929825,1,111.7,49.2,89.5,12.1,12.39072233568326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8062257748298522,1.1180339887498898,2.20227155455452,5.020956084253278,7.829431652425353,9.56713123146119,10.171037311896956,11.842297074469974,11.926860441876563,12.406449935416664,139.18096999891426,52.360800118778585,44.65851585251204,93.75097580509004,162.8725204854489,173.24187881572192,131.1683901805886,142.78804672506834,158.05028114834693,139.7916566159822,0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,,,
67,2,1,0.18699853,1.45687,1.1949115,32.144207,1,115.3,38.4,103.5,8.5,4.964876634922567,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0000000000000084,1.1999999999999955,1.4866068747318568,1.824828759089464,2.051828452868318,2.7294688127912337,3.984971769034253,6.092618484691124,8.464632301523793,9.542536350467834,145.66978280449692,71.20011484134734,118.92642583525382,170.66243704937312,61.82495114777066,80.35695653428935,178.72568321506964,85.60129464500456,56.83553239165018,65.78824568903036,0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,1,,,
21,1,1,0.084982984,1.213073,-0.66854167,32.750267,1,104.2,37.3,78.5,57.6,16.02903615318151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4212670403551997,4.741307836451877,5.508175741568162,6.171709649683788,7.81856764375675,8.980534505250795,9.0,9.013878188659977,9.556673061269803,9.72008230417829,48.98678736003279,52.6566441387288,25.49989445146801,72.71714977930964,30.682278333414697,17.37634430490123,99.69738049753246,59.647652731824245,66.99344080706705,43.66850562650013,0,0.0,0.0,0.0,1.0,1.0,1.0,0,1,0,,,
89,2,1,0.0060585644,2.024711,1.4038662,27.684834,1,82.9,40.5,73.9,10.7,37.103369119259234,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12.410076550932304,13.031116606031889,17.80028089666003,19.23538406167134,20.066140635408694,20.24080037943164,20.72920644887304,21.07225664232475,21.59560140398965,22.779376637651872,178.46307078209009,175.26755459842573,142.6798517984388,155.53930224790756,103.14608819916992,159.02328900534957,176.18602427226568,162.68488302432155,168.47354372703603,148.6867656134369,0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,1,,,
36,1,1,0.026049824,1.252643,-0.5567113,84.21698,1,99.5,22.8,10.8,55.6,26.759857996633688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0675723300355986,5.093132631298739,6.543699259593149,6.726812023536854,7.521303078589509,16.319313711060282,19.84943324127921,22.536414976655003,23.701898658124417,30.016662039607265,120.97692384772276,176.58861038590328,78.79402221301679,44.88521503531881,94.19412600633748,149.3206544328704,142.21318924883948,179.05939193237998,130.72269441376784,106.84900712940195,0,0.0,1.0,1.0,0.0,0.0,1.0,0,0,0,,,
