minute,period,shot_open_goal,shot_statsbomb_xg,fk_duration,pass_angle,pass_length,pass_switch,shot_x,shot_y,fk_x,fk_y,shooter_position_Center Attacking Midfield,shooter_position_Center Back,shooter_position_Center Defensive Midfield,shooter_position_Center Forward,shooter_position_Center Midfield,shooter_position_Goalkeeper,shooter_position_Left Attacking Midfield,shooter_position_Left Back,shooter_position_Left Center Back,shooter_position_Left Center Forward,shooter_position_Left Center Midfield,shooter_position_Left Defensive Midfield,shooter_position_Left Midfield,shooter_position_Left Wing,shooter_position_Left Wing Back,shooter_position_Right Attacking Midfield,shooter_position_Right Back,shooter_position_Right Center Back,shooter_position_Right Center Forward,shooter_position_Right Center Midfield,shooter_position_Right Defensive Midfield,shooter_position_Right Midfield,shooter_position_Right Wing,shooter_position_Right Wing Back,shot_body_part_Head,shot_body_part_Left Foot,shot_body_part_Other,shot_body_part_Right Foot,shot_technique_Backheel,shot_technique_Diving Header,shot_technique_Half Volley,shot_technique_Lob,shot_technique_Normal,shot_technique_Overhead Kick,shot_technique_Volley,pass_height_Ground Pass,pass_height_High Pass,pass_height_Low Pass,fk_taker_position_Center Attacking Midfield,fk_taker_position_Center Back,fk_taker_position_Center Defensive Midfield,fk_taker_position_Center Forward,fk_taker_position_Center Midfield,fk_taker_position_Goalkeeper,fk_taker_position_Left Attacking Midfield,fk_taker_position_Left Back,fk_taker_position_Left Center Back,fk_taker_position_Left Center Forward,fk_taker_position_Left Center Midfield,fk_taker_position_Left Defensive Midfield,fk_taker_position_Left Midfield,fk_taker_position_Left Wing,fk_taker_position_Left Wing Back,fk_taker_position_Right Attacking Midfield,fk_taker_position_Right Back,fk_taker_position_Right Center Back,fk_taker_position_Right Center Forward,fk_taker_position_Right Center Midfield,fk_taker_position_Right Defensive Midfield,fk_taker_position_Right Midfield,fk_taker_position_Right Wing,fk_taker_position_Right Wing Back,distance_to_goal,distance_player_1,distance_player_2,distance_player_3,distance_player_4,angle_player_1,angle_player_2,angle_player_3,angle_player_4,teammates_player_1,teammates_player_2,teammates_player_3,teammates_player_4
80,2,1,0.096295886,3.234422,0.56020284,52.88336,1,106.7,31.8,61.3,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.624659996300718,0.608276253029816,4.875448697299562,5.731491952362841,5.805170109479992,157.80677319776584,147.16941943779383,115.64654305276505,163.86284664454632,0,0,0,0
54,2,1,0.5080946,0.976737,-0.9434881,19.76259,1,113.8,41.3,99.7,58.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.334824385884744,2.262741699796944,3.2557641192199367,3.423448553724737,4.049691346263308,56.84207611532773,30.66837096267323,108.55191292308477,44.74731903831565,0,0,0,1
4,1,1,0.12598641,1.364676,0.99869347,31.4,1,109.6,31.6,93.7,3.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.368619973654726,1.5652475842498466,2.886173937932357,4.130375285612671,4.6389654018972815,102.36249241571464,114.891300124866,31.974586124618355,121.49613562161986,1,0,1,1
76,2,1,0.05809184,2.303011,-0.02708697,40.6149,1,106.1,52.0,69.3,55.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.363278574372284,1.8788294228055948,5.798275605729685,7.021395872616784,10.024470060806205,164.39677333725564,98.48473380003924,113.40164617686314,126.80017736751006,0,1,0,0
25,1,1,0.38092464,2.282858,0.5174574,44.069603,1,117.7,44.2,78.9,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.788527957525153,1.8027756377319946,1.9235384061671397,2.8600699292150233,3.4525353003264194,175.01588501742128,89.1913184875467,114.82481306654711,71.3020272580403,0,0,0,1
93,2,1,0.21519978,1.368606,1.223611,32.328934,1,113.6,38.1,100.4,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.676076692189812,1.5620499351813275,1.6031219541881416,1.8110770276274863,2.5179356624028357,66.72926676507983,110.11117223234278,67.12497039674534,113.37761126997633,1,0,0,0
11,1,1,0.14898933,2.462985,-0.8425927,53.190693,1,112.6,37.4,74.7,73.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.843468620451037,2.720294101747096,2.942787793912424,5.080354318352215,6.499999999999997,145.38636756079842,29.141401207502014,170.844979546037,72.48909652985077,0,0,0,0
38,1,1,0.07857319,1.692189,-1.6221796,35.046257,1,112.0,44.0,110.4,75.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94427190999916,0.6324555320336713,0.7000000000000028,1.077032961426903,1.8027756377319955,45.0000000000004,153.434948822922,138.36646066343008,97.12501634890201,1,0,1,1
82,2,1,0.05820529,2.23075,0.7148441,40.122063,1,111.0,44.2,79.7,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.931767214348111,0.7810249675906665,0.943398113205658,2.2472205054244294,2.7313000567495305,75.2113223858349,122.97772331381636,57.29253779267765,91.26739898523338,0,0,1,0
41,1,1,0.1278415,2.467764,0.96717,46.15669,1,113.4,42.2,86.2,4.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95701085237043,0.6082762530298154,0.6082762530298225,2.256102834535698,3.635931792539566,81.02737338510313,117.89727103094712,121.23921488820879,40.060784457873616,0,1,0,0
